file_name,ply_count,sequence,E11_pa,E22_pa,G12_pa,nu12,ply_thickness_m,load_Nxx_lb_per_in,load_Nyy_lb_per_in,reference_failure_load_lambda_cs,reference_buckling_load_lambda_cb,compatible_for_stiffness_clt,compatible_for_failure_optimization,missing_strength_properties,dataset_type
Case2_DDDD_pymoo.py,64,"[90, 90, 90, 90, 90, 90, 90, 90, 90, 90, 45, -45, 45, -45, 90, 90, 45, -45, 45, -45, 45, -45, 90, 90, 45, -45, 45, -45, 45, -45, 45, -45, -45, 45, -45, 45, -45, 45, -45, 45, 90, 90, -45, 45, -45, 45, -45, 45, 90, 90, -45, 45, -45, 45, 90, 90, 90, 90, 90, 90, 90, 90, 90, 90]",127550000000.0,13030000000.0,6410000000.0,0.3,0.000127,1.0,1.0,10394.81,9998.19,True,False,Xt;Xc;Yt;Yc;S,optimization_software_output
Case2_DDDD_pymoo_free.py,64,"[90, 90, 90, 90, 90, 90, 90, 90, 90, 90, 45, -45, 45, -45, 90, 90, 45, -45, 45, -45, 45, -45, 90, 90, 45, -45, 45, -45, 45, -45, 45, -45, -45, 45, -45, 45, -45, 45, -45, 45, 90, 90, -45, 45, -45, 45, -45, 45, 90, 90, -45, 45, -45, 45, 90, 90, 90, 90, 90, 90, 90, 90, 90, 90]",127550000000.0,13030000000.0,6410000000.0,0.3,0.000127,1.0,1.0,10394.81,9998.19,True,False,Xt;Xc;Yt;Yc;S,optimization_software_output
Case2_DDDD_pymoo_load.py,64,"[90, 90, 90, 90, 90, 90, 90, 90, 90, 90, 45, -45, 45, -45, 90, 90, 45, -45, 45, -45, 45, -45, 90, 90, 45, -45, 45, -45, 45, -45, 45, -45, -45, 45, -45, 45, -45, 45, -45, 45, 90, 90, -45, 45, -45, 45, -45, 45, 90, 90, -45, 45, -45, 45, 90, 90, 90, 90, 90, 90, 90, 90, 90, 90]",127550000000.0,13030000000.0,6410000000.0,0.3,0.000127,1.0,0.0,10394.81,9998.19,True,False,Xt;Xc;Yt;Yc;S,optimization_software_output
Case2_DDDD_pymoo_uniaxial_free.py,64,"[90, 90, 90, 90, 90, 90, 90, 90, 90, 90, 45, -45, 45, -45, 90, 90, 45, -45, 45, -45, 45, -45, 90, 90, 45, -45, 45, -45, 45, -45, 45, -45, -45, 45, -45, 45, -45, 45, -45, 45, 90, 90, -45, 45, -45, 45, -45, 45, 90, 90, -45, 45, -45, 45, 90, 90, 90, 90, 90, 90, 90, 90, 90, 90]",127550000000.0,13030000000.0,6410000000.0,0.3,0.000127,1.0,0.0,10394.81,9998.19,True,False,Xt;Xc;Yt;Yc;S,optimization_software_output
Case2_DDD_pymoo.py,64,"[90, 90, 90, 90, 90, 90, 90, 90, 90, 90, 45, -45, 45, -45, 90, 90, 45, -45, 45, -45, 45, -45, 90, 90, 45, -45, 45, -45, 45, -45, 45, -45, -45, 45, -45, 45, -45, 45, -45, 45, 90, 90, -45, 45, -45, 45, -45, 45, 90, 90, -45, 45, -45, 45, 90, 90, 90, 90, 90, 90, 90, 90, 90, 90]",127550000000.0,13030000000.0,6410000000.0,0.3,0.000127,1.0,1.0,10394.81,9998.19,True,False,Xt;Xc;Yt;Yc;S,optimization_software_output
Case2_DDD_pymoo_free.py,64,"[90, 90, 90, 90, 90, 90, 90, 90, 90, 90, 45, -45, 45, -45, 90, 90, 45, -45, 45, -45, 45, -45, 90, 90, 45, -45, 45, -45, 45, -45, 45, -45, -45, 45, -45, 45, -45, 45, -45, 45, 90, 90, -45, 45, -45, 45, -45, 45, 90, 90, -45, 45, -45, 45, 90, 90, 90, 90, 90, 90, 90, 90, 90, 90]",127550000000.0,13030000000.0,6410000000.0,0.3,0.000127,1.0,1.0,10394.81,9998.19,True,False,Xt;Xc;Yt;Yc;S,optimization_software_output
Case2_DDD_pymoo_load.py,64,"[90, 90, 90, 90, 90, 90, 90, 90, 90, 90, 45, -45, 45, -45, 90, 90, 45, -45, 45, -45, 45, -45, 90, 90, 45, -45, 45, -45, 45, -45, 45, -45, -45, 45, -45, 45, -45, 45, -45, 45, 90, 90, -45, 45, -45, 45, -45, 45, 90, 90, -45, 45, -45, 45, 90, 90, 90, 90, 90, 90, 90, 90, 90, 90]",127550000000.0,13030000000.0,6410000000.0,0.3,0.000127,1.0,0.0,10394.81,9998.19,True,False,Xt;Xc;Yt;Yc;S,optimization_software_output
Case2_DDD_pymoo_uniaxial_free.py,64,"[90, 90, 90, 90, 90, 90, 90, 90, 90, 90, 45, -45, 45, -45, 90, 90, 45, -45, 45, -45, 45, -45, 90, 90, 45, -45, 45, -45, 45, -45, 45, -45, -45, 45, -45, 45, -45, 45, -45, 45, 90, 90, -45, 45, -45, 45, -45, 45, 90, 90, -45, 45, -45, 45, 90, 90, 90, 90, 90, 90, 90, 90, 90, 90]",127550000000.0,13030000000.0,6410000000.0,0.3,0.000127,1.0,0.0,10394.81,9998.19,True,False,Xt;Xc;Yt;Yc;S,optimization_software_output
Case2_DD_pymoo.py,64,"[90, 90, 90, 90, 90, 90, 90, 90, 90, 90, 45, -45, 45, -45, 90, 90, 45, -45, 45, -45, 45, -45, 90, 90, 45, -45, 45, -45, 45, -45, 45, -45, -45, 45, -45, 45, -45, 45, -45, 45, 90, 90, -45, 45, -45, 45, -45, 45, 90, 90, -45, 45, -45, 45, 90, 90, 90, 90, 90, 90, 90, 90, 90, 90]",127550000000.0,13030000000.0,6410000000.0,0.3,0.000127,1.0,1.0,10394.81,9998.19,True,False,Xt;Xc;Yt;Yc;S,optimization_software_output
Case2_DD_pymoo_free.py,64,"[90, 90, 90, 90, 90, 90, 90, 90, 90, 90, 45, -45, 45, -45, 90, 90, 45, -45, 45, -45, 45, -45, 90, 90, 45, -45, 45, -45, 45, -45, 45, -45, -45, 45, -45, 45, -45, 45, -45, 45, 90, 90, -45, 45, -45, 45, -45, 45, 90, 90, -45, 45, -45, 45, 90, 90, 90, 90, 90, 90, 90, 90, 90, 90]",127550000000.0,13030000000.0,6410000000.0,0.3,0.000127,1.0,1.0,10394.81,9998.19,True,False,Xt;Xc;Yt;Yc;S,optimization_software_output
Case2_DD_pymoo_load.py,64,"[90, 90, 90, 90, 90, 90, 90, 90, 90, 90, 45, -45, 45, -45, 90, 90, 45, -45, 45, -45, 45, -45, 90, 90, 45, -45, 45, -45, 45, -45, 45, -45, -45, 45, -45, 45, -45, 45, -45, 45, 90, 90, -45, 45, -45, 45, -45, 45, 90, 90, -45, 45, -45, 45, 90, 90, 90, 90, 90, 90, 90, 90, 90, 90]",127550000000.0,13030000000.0,6410000000.0,0.3,0.000127,1.0,0.0,10394.81,9998.19,True,False,Xt;Xc;Yt;Yc;S,optimization_software_output
